District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged,Rank Number,Actual Number,Cluster
Seoni,Madhya Pradesh,16,1379131,1465,41,1414,10,99297.432,1990.426206,81401,0
Banswara,Rajasthan,25,1797485,2029,231,1766,32,122228.98,1986.899649,154417.76,3
Karnal,Haryana,9,1505324,10639,265,10229,145,114404.624,1980.911634,140337.259,0
Tirunelveli,Tamil Nadu,27,3077233,15205,128,14866,211,273873.737,1966.336472,264774.754,3
Nawada,Bihar,4,2219146,4117,159,3935,23,148682.782,1962.460551,92279.58,0
Kottayam,Kerala,14,1974551,47849,6575,41133,139,209302.406,1956.867206,75618.939,2
Sivaganga,Tamil Nadu,27,1339101,6476,44,6306,126,119179.989,1954.301778,182058.644,3
Gopalganj,Bihar,4,2562012,5698,81,5602,15,171654.804,1952.475003,56332.52,0
Bhagalpur,Bihar,4,3037766,9315,146,9094,75,203530.322,1952.384201,144032.705,0
Nagapattinam,Tamil Nadu,27,1616450,8029,114,7788,127,143864.05,1929.196893,176991.45,3
Churu,Rajasthan,25,2039547,4268,129,4099,40,138689.196,1927.711868,122228.98,3
Rohtak,Haryana,9,1061204,11978,192,11642,144,80651.504,1926.756302,101395.552,0
Patan,Gujarat,8,1343734,4111,87,3972,52,94061.38,1900.567295,115624.513,0
Baghpat,Uttar Pradesh,30,1303048,2246,133,2079,34,91213.36,1898.341254,130379.13,3
Bahraich,Uttar Pradesh,30,3487731,4031,75,3882,74,244141.17,1885.751346,285524.922,3
Karbi Anglong,Assam,3,956313,632,69,552,11,59291.406,1862.944184,105039,0
Nagaon,Assam,3,2823768,4515,1983,2506,26,175073.616,1857.974126,104764.968,0
Jind,Haryana,9,1334152,4631,182,4361,88,101395.552,1848.448164,153694.263,0
Bankura,West Bengal,32,3596674,11177,416,10673,88,255363.854,1830.042118,166357.136,3
Raichur,Karnataka,13,1928812,14137,102,13877,158,152376.148,1797.630032,146306.592,0
Araria,Bihar,4,2811569,7118,28,7068,22,188375.123,1777.072364,71592.836,0
Surendranagar,Gujarat,8,1756268,3387,223,3152,12,122938.76,1751.789004,54564.984,0
Ramanagara,Karnataka,13,1082636,7364,52,7236,76,85528.244,1749.239467,95874.984,0
Mandya,Karnataka,13,1805769,19300,202,18951,147,142655.751,1747.672251,110428.5,0
Rajsamand,Rajasthan,25,1156597,3700,354,3306,40,78648.596,1733.727427,94415.904,3
Rae Bareli,Uttar Pradesh,30,3405559,5099,222,4774,103,238389.13,1724.021667,303146.382,3
Namakkal,Tamil Nadu,27,1726601,11048,182,10758,108,153667.489,1715.686969,136692.92,3
Sonbhadra,Uttar Pradesh,30,1862559,4945,220,4653,72,130379.13,1703.008552,152376.148,3
Dhar,Madhya Pradesh,16,2185793,3729,144,3531,54,157377.096,1698.9767,177055.068,0
Balangir,Odisha,22,1648997,8375,105,8232,38,136866.751,1650.534885,76178.532,3
Madhubani,Bihar,4,4487379,7553,62,7459,32,300654.393,1639.082714,120062.81,0
Bhopal,Madhya Pradesh,16,2371061,37992,2030,35399,563,170716.392,1638.730493,203530.322,2
Guntur,Andhra Pradesh,1,4887813,74423,487,73274,662,376361.601,1635.215349,250727.22,2
Rewari,Haryana,9,900332,11249,205,10971,73,68425.232,1617.729546,55002.804,0
Vizianagaram,Andhra Pradesh,1,2344474,40998,66,40694,238,180524.498,1612.699337,107097.06,0
Lalitpur,Uttar Pradesh,30,1221592,3268,79,3143,46,85511.44,1588.073066,115963.12,3
Nagpur,Maharashtra,17,4653570,122888,4601,115105,3166,414167.73,1585.978639,435969.52,2
Damoh,Madhya Pradesh,16,1264219,2585,144,2367,74,91023.768,1569.359981,208139.778,0
Hamirpur,Himachal Pradesh,10,454768,2717,219,2454,43,45476.8,1562.161611,84005.24,0
Bastar,Chhattisgarh,6,1413199,7531,161,7287,83,105989.925,1559.232061,114404.624,0
Washim,Maharashtra,17,1197160,6732,240,6342,148,106547.24,1556.087783,182803.269,0
Shimla,Himachal Pradesh,10,814010,9856,704,8873,241,81401,1555.759982,163507.33,0
Khagaria,Bihar,4,1666886,3049,29,3008,12,111681.362,1550.160492,54788.484,0
Banka,Bihar,4,2034763,3403,101,3283,19,136329.121,1541.881383,86578.03,0
