District,State,Population,Sex-Ratio,Confirmed,Active,Recovered,Deceased,Death Rate,age frac,Rank Number,Actual Number
Gurdaspur,Punjab,"2,298,323",895,7833,134,7453,246,0.031405592,0.092,6640.577887,211445.716
Shahjahanpur,Uttar Pradesh,"3,006,538",872,6786,72,6603,111,0.016357206,0.07,3442.499299,210457.66
Kottayam,Kerala,"1,974,551",1039,47849,6575,41133,139,0.002904972,0.106,608.017629,209302.406
Mayurbhanj,Odisha,"2,519,738",1006,13790,101,13598,91,0.006598985,0.083,1380.100201,209138.254
Udaipur,Rajasthan,"3,068,420",958,11008,319,10581,108,0.009811047,0.068,2047.100073,208652.56
Srikakulam,Andhra Pradesh,"2,703,114",1015,45889,163,45380,346,0.007539933,0.077,1569.359981,208139.778
Katihar,Bihar,"3,071,029",919,7136,121,7003,12,0.001681614,0.067,346.0071192,205758.943
Bhagalpur,Bihar,"3,037,766",880,9315,146,9094,75,0.00805153,0.067,1638.730493,203530.322
Jalandhar,Punjab,"2,193,590",915,19669,487,18554,628,0.031928415,0.092,6443.482371,201810.28
Bhavnagar,Gujarat,"2,880,365",933,5714,97,5549,68,0.011900595,0.07,2399.464012,201625.55
Erode,Tamil Nadu,"2,251,744",993,13445,304,12998,143,0.010635924,0.089,2131.494647,200405.216
Bilaspur,Chhattisgarh,"2,663,629",971,17417,303,16927,187,0.010736637,0.075,2144.881326,199772.175
Begusarai,Bihar,"2,970,541",895,7596,112,7452,32,0.004212744,0.067,838.4466279,199026.247
Rohtas,Bihar,"2,959,918",918,6657,60,6552,45,0.006759802,0.067,1340.566794,198314.506
Raigarh,Chhattisgarh,"2,634,200",959,20825,381,20168,276,0.013253301,0.075,2618.388412,197565
Chandrapur,Maharashtra,"2,204,307",961,22930,788,21758,383,0.016703009,0.089,3276.85181,196183.323
Nalanda,Bihar,"2,877,653",922,8028,94,7879,55,0.006851021,0.067,1320.895696,192802.751
Dindigul,Tamil Nadu,"2,159,775",998,10808,135,10476,197,0.018227239,0.089,3503.639425,192219.975
Junagadh,Gujarat,"2,743,082",953,4786,268,4485,33,0.006895111,0.07,1323.969841,192015.74
Araria,Bihar,"2,811,569",921,7118,28,7068,22,0.003090756,0.067,582.2215417,188375.123
Maharajganj,Uttar Pradesh,"2,684,703",943,5745,12,5643,90,0.015665796,0.07,2944.060666,187929.21
Khordha,Odisha,"2,251,673",929,52521,223,51971,327,0.006226081,0.083,1163.585174,186888.859
Fatehpur,Uttar Pradesh,"2,632,733",901,3725,137,3523,65,0.017449664,0.07,3215.821438,184291.31
Bhojpur,Bihar,"2,728,407",907,4934,66,4826,42,0.008512363,0.067,1556.087783,182803.269
Dhule,Maharashtra,"2,050,862",946,15551,307,14898,343,0.022056459,0.089,4025.893072,182526.718
Sikar,Rajasthan,"2,677,333",947,8850,176,8579,95,0.010734463,0.068,1954.301778,182058.644
Ranchi,Jharkhand,"2,914,253",949,29973,748,29014,211,0.007039669,0.062,1271.953343,180683.686
Vizianagaram,Andhra Pradesh,"2,344,474",1019,40998,66,40694,238,0.005805161,0.077,1047.973775,180524.498
Mathura,Uttar Pradesh,"2,547,184",863,6602,225,6268,109,0.016510148,0.07,2943.806938,178302.88
Jabalpur,Madhya Pradesh,"2,463,289",929,15242,445,14560,237,0.015549141,0.072,2757.746015,177356.808
Barmer,Rajasthan,"2,603,751",902,4898,154,4697,47,0.009595753,0.068,1698.9767,177055.068
Surguja,Chhattisgarh,"2,359,886",978,7156,573,6505,78,0.010899944,0.075,1929.196893,176991.45
Ajmer,Rajasthan,"2,583,052",951,16290,295,15779,216,0.013259669,0.068,2329.028188,175647.536
Nagaon,Assam,"2,823,768",962,4515,1983,2506,26,0.005758583,0.062,1008.175949,175073.616
Firozabad,Uttar Pradesh,"2,498,156",875,3792,52,3672,68,0.017932489,0.07,3135.870849,174870.92
Mirzapur,Uttar Pradesh,"2,496,970",903,3357,149,3166,42,0.012511171,0.07,2186.801306,174787.9
Patiala,Punjab,"1,895,686",891,15573,254,14850,469,0.030116227,0.092,5252.36371,174403.112
Jalna,Maharashtra,"1,959,046",937,12635,175,12122,337,0.026671943,0.089,4650.389129,174355.094
Sundargarh,Odisha,"2,093,437",973,14444,375,13902,167,0.011561894,0.083,2008.940025,173755.271
Bharatpur,Rajasthan,"2,548,462",880,8890,176,8596,118,0.013273341,0.068,2300.20915,173295.416
Virudhunagar,Tamil Nadu,"1,942,288",1007,16261,94,15939,228,0.014021278,0.089,2423.76904,172863.632
Basti,Uttar Pradesh,"2,464,464",963,4996,65,4834,97,0.019415532,0.07,3349.421576,172512.48
Gopalganj,Bihar,"2,562,012",1021,5698,81,5602,15,0.002632503,0.067,451.8817865,171654.804
Sagar,Madhya Pradesh,"2,378,458",893,4872,196,4529,147,0.030172414,0.072,5166.995001,171248.976
Bhopal,Madhya Pradesh,"2,371,061",918,37992,2030,35399,563,0.014818909,0.072,2529.830678,170716.392
Rewa,Madhya Pradesh,"2,365,106",931,3737,184,3520,33,0.008830613,0.072,1503.744177,170287.632
Aurangabad,Bihar,"2,540,073",926,5083,75,4993,15,0.002951013,0.067,502.2178257,170184.891
Sabarkantha,Gujarat,"2,428,589",952,2719,143,2563,13,0.00478117,0.07,812.8047808,170001.23
Ambedkar Nagar,Uttar Pradesh,"2,397,888",978,1853,66,1744,43,0.023205613,0.07,3895.112266,167852.16
Krishnagiri,Tamil Nadu,"1,879,809",958,7781,85,7580,116,0.014908109,0.089,2494.171375,167303.001
Dhanbad,Jharkhand,"2,684,487",909,7339,51,7186,102,0.013898351,0.062,2313.21644,166438.194
Haridwar,Uttarakhand,"1,890,422",880,13181,434,12488,145,0.011000683,0.088,1830.042118,166357.136
Dakshina Kannada,Karnataka,"2,089,649",1020,32693,339,31618,734,0.022451289,0.079,3706.309775,165082.271
Bhilwara,Rajasthan,"2,408,523",973,9326,350,8938,38,0.00407463,0.068,667.3411249,163779.564
Rampur,Uttar Pradesh,"2,335,819",909,5360,89,5220,51,0.009514925,0.07,1555.759982,163507.33
Parbhani,Maharashtra,"1,836,086",947,7529,215,7027,276,0.036658255,0.089,5990.386082,163411.654
Bijapur,Chhattisgarh,"2,177,331",960,3969,30,3911,28,0.007054674,0.075,1152.02703,163299.825
Akola,Maharashtra,"1,813,906",946,10360,531,9479,345,0.033301158,0.089,5376.060157,161437.634
Balrampur,Chhattisgarh,"2,148,665",928,3297,193,3093,11,0.003336366,0.075,537.6549639,161149.875
Kheda,Gujarat,"2,299,885",940,2847,114,2717,16,0.005619951,0.07,904.7668704,160991.95
Bikaner,Rajasthan,"2,363,937",905,18954,97,18692,165,0.008705286,0.068,1399.354842,160747.716
Satna,Madhya Pradesh,"2,228,935",926,3180,140,2999,41,0.012893082,0.072,2069.124604,160483.32
Dhar,Madhya Pradesh,"2,185,793",964,3729,144,3531,54,0.014481094,0.072,2278.992521,157377.096
